編號,執行機關,名稱,年度,計畫總金額,中央補助總額,地方自籌總額,計畫年度經費,中央年度補助款,地方年度自籌款,執行廠商
327,宜蘭縣,111年宜蘭縣智慧運輸系統擴充暨重點區域交通改善計畫,111,"16,666,667","15,000,000","1,666,667","13,333,334","12,000,000","1,333,334",台灣世曦工程顧問股份有限公司
328,宜蘭縣,111年宜蘭縣智慧運輸系統擴充暨重點區域交通改善計畫,112,"16,666,667","15,000,000","1,666,667","3,333,333","3,000,000","333,333",台灣世曦工程顧問股份有限公司
329,臺東縣,TTGo交通預約媒合平台：臺東慢經濟觀光服務應用計畫,111,"37,894,738","36,000,000","1,894,738","11,368,420","10,800,000","568,420",小驢行股份有限公司
330,臺東縣,TTGo交通預約媒合平台：臺東慢經濟觀光服務應用計畫,112,"37,894,738","36,000,000","1,894,738","26,526,318","25,200,000","1,326,318",小驢行股份有限公司
331,臺中市,111年度中彰投聯合交通協控計畫(第二部分),111,"51,333,334","26,000,000","9,333,334","37,333,334","12,000,000","9,333,334",逢甲大學
332,臺中市,111年度中彰投聯合交通協控計畫(第二部分),112,"51,333,334","26,000,000","9,333,334","14,000,000","14,000,000",0,逢甲大學
333,宜蘭縣,112年宜蘭縣智慧運輸系統擴充暨重點區域交通改善計畫,112,"16,666,667","15,000,000","1,666,667","13,333,334","12,000,000","1,333,334",台灣世曦工程顧問股份有限公司
334,宜蘭縣,112年宜蘭縣智慧運輸系統擴充暨重點區域交通改善計畫,113,"16,666,667","15,000,000","1,666,667","3,333,333","3,000,000","333,333",台灣世曦工程顧問股份有限公司
335,南投縣,日月潭航線(船舶)智慧旅運服務系統規劃案,112,"3,500,000","3,150,000","350,000","2,100,000","1,890,000","210,000",逢甲大學
336,南投縣,日月潭航線(船舶)智慧旅運服務系統規劃案,113,"3,500,000","3,150,000","350,000","1,400,000","1,260,000","140,000",逢甲大學
337,屏東縣,屏東縣智慧運輸系統之觀光景區智慧交通應用服務計畫,112,"13,684,211","13,000,000","684,211","3,157,369","3,000,000","157,369",台灣世曦工程顧問股份有限公司
338,屏東縣,屏東縣智慧運輸系統之觀光景區智慧交通應用服務計畫,113,"13,684,211","13,000,000","684,211","10,526,842","10,000,000","526,842",台灣世曦工程顧問股份有限公司
339,新竹縣,112-113年大新竹通勤路廊(國道1號新竹路段) 智慧交控計畫,112,"43,000,000","34,000,000","9,000,000","7,588,236","6,000,000","1,588,236",創新交通科技有限公司
340,新竹縣,112-113年大新竹通勤路廊(國道1號新竹路段) 智慧交控計畫,113,"43,000,000","34,000,000","9,000,000","35,411,764","28,000,000","7,411,764",創新交通科技有限公司
341,桃園市,桃園 TYGO交通行動服務應用可行性研究,112,"5,000,000","3,750,000","1,250,000","1,500,000","1,125,000","375,000",鼎漢國際工程顧問股份有限公司
342,桃園市,桃園 TYGO交通行動服務應用可行性研究,113,"5,000,000","3,750,000","1,250,000","3,500,000","2,625,000","875,000",鼎漢國際工程顧問股份有限公司
343,基隆市,基隆市智慧道路計畫－道路設施數位化子計畫,112,"4,705,882","4,000,000","705,882","1,176,471","1,000,000","176,471",日陞空間資訊股份有限公司
344,基隆市,基隆市智慧道路計畫－道路設施數位化子計畫,113,"4,705,882","4,000,000","705,882","3,529,411","3,000,000","529,411",日陞空間資訊股份有限公司
345,金門縣,金門縣交通控制系統建置計畫,112,"22,601,541","19,200,000","3,401,541","4,520,308","3,840,000","680,308",台灣世曦
346,金門縣,112-113年度金門縣交通控制系統建置計畫,112,"16,500,000","14,000,000","2,500,000","2,357,143","2,000,000","357,143",台灣世曦工程顧問股份有限公司
347,金門縣,112-113年度金門縣交通控制系統建置計畫,113,"16,500,000","14,000,000","2,500,000","14,142,857","12,000,000","2,142,857",台灣世曦工程顧問股份有限公司
348,南投縣,南投縣福興溫泉專區自駕車營運規劃案,112,"3,333,334","3,000,000","333,334","1,000,000","900,000","100,000",勤崴國際科技股份有限公司
349,南投縣,南投縣福興溫泉專區自駕車營運規劃案,113,"3,333,334","3,000,000","333,334","2,333,334","2,100,000","233,334",勤崴國際科技股份有限公司
350,雲林縣,112 年度麥寮路段交控策略實作建置計畫,112,"21,000,000","18,000,000","3,000,000","2,310,000","2,000,000","310,000",逢甲大學
351,雲林縣,112 年度麥寮路段交控策略實作建置計畫,113,"21,000,000","18,000,000","3,000,000","14,490,000","12,400,000","2,090,000",逢甲大學
352,嘉義市,112~113年嘉義市導入智慧化號誌與智慧道路應用計畫,112,"20,000,000","17,000,000","3,000,000","2,400,000","2,000,000","400,000",台灣世曦工程顧問股份有限公司
353,嘉義市,112~113年嘉義市導入智慧化號誌與智慧道路應用計畫,113,"20,000,000","17,000,000","3,000,000","17,600,000","15,000,000","2,600,000",台灣世曦工程顧問股份有限公司
354,高雄市,112-113年度道路設施數位化試辦計畫,112,"5,890,000","5,000,000","890,000","1,767,000","1,500,000","267,000",鼎漢國際工程顧問股份有限公司
355,高雄市,112-113年度道路設施數位化試辦計畫,113,"5,890,000","5,000,000","890,000","4,123,000","3,500,000","623,000",鼎漢國際工程顧問股份有限公司
356,苗栗縣,苗栗縣旅遊地區交通壅塞紓解及安全提升計畫,113,"12,080,000","11,475,999","604,001","12,080,000","11,475,999","604,001",基能科技股份有限公司
357,苗栗縣,苗栗縣智慧交通管理系統服務優化與瓶頸路廊壅塞改善計畫,113,"11,950,000","11,352,465","597,535","11,950,000","11,352,465","597,535",中華電信股份有限公司企業分公司
358,高雄市,112-113年度高雄市脆弱路段智慧化號誌交控應用服務計畫,112,"35,000,000","14,000,000","21,000,000","5,000,000","2,000,000","3,000,000",台灣世曦工程顧問股份有限公司
359,高雄市,112-113年度高雄市脆弱路段智慧化號誌交控應用服務計畫,113,"35,000,000","14,000,000","21,000,000","30,000,000","12,000,000","18,000,000",台灣世曦工程顧問股份有限公司
360,高雄市,112-113年度新一代智慧運輸系統設計建置計畫,112,28500000,13000000,15500000,"8,550,000","2,000,000","6,550,000",資拓宏宇國際股份有限公司
361,高雄市,112-113年度新一代智慧運輸系統設計建置計畫,113,28500000,13000000,15500000,"19,950,000","11,000,000","8,950,000",資拓宏宇國際股份有限公司
362,高雄市,無號誌化路口安全提升計畫,112,"7,060,000","6,000,000","1,060,000","2,118,000","1,800,000","318,000",新晟光電股份有限公司
363,高雄市,無號誌化路口安全提升計畫,113,"7,060,000","6,000,000","1,060,000","4,942,000","4,200,000","742,000",新晟光電股份有限公司
364,臺南市,112 年應用 AI 影像辨識暨市道182縣道壅塞改善計畫,113,"18,710,000","27,572,632","9,847,368","16,090,600","13,786,316","4,923,684",資拓宏宇國際股份有限公司
365,臺南市,112 年應用 AI 影像辨識暨市道182縣道壅塞改善計畫,112,"18,710,000","27,572,632","9,847,368","2,619,400","13,786,316","4,923,684",資拓宏宇國際股份有限公司
366,臺東縣,臺東縣智慧交通基礎建設與應用計畫 (第五期),113,"21,060,000","20,000,000","1,060,000","21,060,000","20,000,000","1,060,000",水靈科技股份有限公司
367,臺北市,臺北市智慧影像事件偵測計畫,112,"32,000,000","16,000,000","16,000,000","10,000,000","5,000,000","5,000,000",遠傳電信股份有限公司系統整合分公司
368,臺北市,臺北市智慧影像事件偵測計畫,113,"32,000,000","16,000,000","16,000,000","22,000,000","11,000,000","11,000,000",遠傳電信股份有限公司系統整合分公司
369,臺南市,112年智慧號誌整合應用暨永康區中正南、北路路廊壅塞改善計畫,112,"21,000,000","16,000,000","5,000,000","3,937,500","3,000,000","937,500",資拓宏宇國際股份有限公司
370,臺南市,112年智慧號誌整合應用暨永康區中正南、北路路廊壅塞改善計畫,113,"21,000,000","16,000,000","5,000,000","17,062,500","13,000,000","4,062,500",資拓宏宇國際股份有限公司
371,屏東縣,113年臺1線周邊路網幹道運輸走廊壅塞改善計畫,113,"21,052,632","20,000,000","1,052,632","21,052,632","20,000,000","1,052,632",台灣世曦工程顧問股份有限公司
372,桃園市,桃園市智慧停車資訊系統計畫,113,"5,460,000","4,095,000","1,365,000","5,460,000","4,095,000","1,365,000",合祥交通工程有限公司
373,桃園市,112年度智慧交通安全路口路段防護計畫,113,"8,000,000","6,000,000","2,000,000","8,000,000","6,000,000","2,000,000",鼎漢國際工程顧問股份有限公司
374,基隆市,113年度基隆市無號誌路口提升通行 安全計畫,113,"11,764,706","10,000,000","1,764,706","11,764,706","10,000,000","1,764,706",
375,基隆市,「基隆市智慧交通行動服務生活圈」計畫,113,"4,200,000","3,570,000","630,000","4,200,000","3,570,000","630,000",
376,臺北市,聯合運輸管理平臺暨資料庫分析功能擴充及維運計畫,113,"12,300,000","3,500,000","8,800,000","12,300,000","3,500,000","8,800,000",
377,新北市,校園周邊建置非號誌化路口主動式風險感知警示系統計畫,113,"2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000",
378,桃園市,桃園市大貨車安全管理智慧平台建置計畫,113,"3,800,000","1,575,000","2,225,000","3,800,000","1,575,000","2,225,000",
379,桃園市,運用智慧交通控制系統改善路口行人安全與壅塞路段,113,"9,800,000","7,350,000","2,450,000","9,800,000","7,350,000","2,450,000",
380,苗栗縣,苗栗縣非號誌化路口交通安全提升—智慧路標建置計畫,113,"7,684,938","7,300,000","384,938","7,684,938","7,300,000","384,938",
381,臺中市,臺中市非號誌化路口智慧交通安全提升計畫,113,"10,000,000","7,500,000","2,500,000","10,000,000","7,500,000","2,500,000",
382,雲林縣,雲林縣高風險路口及行人安全防護警示應用計畫,113,"13,368,421","12,700,000","668,421","13,368,421","12,700,000","668,421",
383,嘉義市,113年嘉義市智慧安全路口建置計畫,113,"12,000,000","10,000,000","2,000,000","12,000,000","10,000,000","2,000,000",
384,嘉義縣,113年度嘉義縣智慧交通控制系統提升計畫,113,"7,780,000","6,800,000","980,000","7,780,000","6,800,000","980,000",
385,臺南市,113年臺南市緊急車輛路口優先號誌計畫,113,"7,200,000","6,120,000","1,080,000","7,200,000","6,120,000","1,080,000",
386,臺南市,臺南市非號誌化路口主動式風險感知警示系統建置計畫,113,"1,800,000","1,530,000","270,000","1,800,000","1,530,000","270,000",
387,屏東縣,113年智慧安全建設計畫,113,"7,000,000","6,650,000","350,000","7,000,000","6,650,000","350,000",
388,本部,「大型車輛裝設車輛安全設備推動計畫」成效追蹤評估計畫,106,"8,800,000",,,,,,
389,本部,交通行動服務(MaaS)示範建置計畫(106.11~107),106,"18,100,000",,,,,,
390,本部,科技應用計畫專案管理及監督審驗(106.9~107.10),106,"4,870,000",,,,,,
391,本部,研發成果智財權推廣應用與交通科技知識分享系列計畫(106年至109年),106,"2,940,000",,,,,,
392,運研所,無人飛行載具應用於海灘搜查及港區環境監視之研究,106,"5,300,000",,,,,,
393,科創科,前瞻智慧運輸發展與安全評量技術研究發展計畫(2/4),107,"4,950,000",,,,,,
394,科創科,智慧車輛法規技術諮詢與管理計畫(2/4),107,"4,950,000",,,,,,
395,科創科,智慧運輸計畫行銷宣導委託案,107,"3,460,000",,,,,,
396,運研所,交通行動服務(MaaS)示範建置計畫專案管理及監督審驗(107.10~108.12),107,"5,940,000",,,,,,
397,運研所,我國公共運輸車聯網實驗場域探討(107-108跨年度),107,"14,800,000",,,,,,
398,科創科,花東地區智慧交通便捷經營輔導計畫,108,"19,450,000",,,,,,
399,科創科,前瞻智慧運輸發展與安全評量技術研究發展計畫(3/4),108,"4,960,000",,,,,,
400,科創科,前瞻智慧運輸發展與安全評量技術研究發展計畫(4/4),109,"4,980,000",,,,,,
401,科創科,智慧交通科技產業政策前瞻及成果擴散計畫,109,"18,300,000",,,,,,
402,科創科,智慧車輛法規技術諮詢與管理計畫(3/4),108,"4,970,000",,,,,,
403,科創科,智慧車輛法規技術諮詢與管理計畫(4/4),109,"4,950,000",,,,,,
404,運研所,交通行動服務(MaaS)示範建置計畫(2/2)(108),108,"16,650,000",,,,,,
405,運研所,交通行動服務(MaaS)示範建置計畫專案管理及監督審驗(107.10~108.12),107,"5,940,000",,,,,,
406,運研所,交通行動服務(MaaS)示範建置與服務擴充計畫(108-109),108,"19,430,000",,,,,,
407,運研所,我國公共運輸車聯網實驗場域探討(107-108跨年度),107,"14,800,000",,,,,,
408,運研所,無人飛行載具應用於海灘搜查及港區環境監視之研究,106,"5,300,000",,,,,,
409,運研所,應用人工智慧(AI)技術進行交通數據蒐集系列計畫(108年至109年),108,"9,200,000",,,,,,
410,運研所,路口無人機交通攝影及衝突分析技術開發,108,"3,800,000",,,,,,
411,運資科,『運輸資料流通服務(TDX)』創新服務驗證計畫-建立數據創新育成發展環境,110,"5,900,000",,,,,,
412,運資科,『運輸資料流通服務(TDX)』創新服務驗證計畫-推動企業策略合作與試營運有價服務,110,"14,600,000",,,,,,
413,運資科,『運輸資料流通服務(TDX)』創新服務驗證計畫-提升資料治理導向之智慧政府運作效能,110,"7,760,000",,,,,,
414,運資科,『運輸資料流通服務平臺(TDX)』營運模式研究(二)-創新服務驗證計畫專案管理,110,"2,950,000",,,,,,
415,運資科,交通數位治理中心空間規劃及設備採購案,110,"480,000",,,,,,
416,運資科,交通數位治理平臺發展初探,110,"5,650,000",,,,,,
417,運資科,智慧交通大數據基礎建設及應用服務計畫(I),110,"49,800,000",,,,,,
418,科創科,智慧交通科技產業政策前瞻及成果擴散計畫,110,"18,300,000",,,,,,
419,科創科,智慧運輸社會認知探討暨推升計畫,110,"5,890,000",,,,,,
420,科創科,智慧運輸發展與車輛安全法規技術諮詢管理計畫(1/4),110,"9,950,000",,,,,,
421,運資科,跨域數據治理服務-我國智慧道路數位發展先期研究,110,"5,800,000",,,,,,
422,運資科,運輸資料流通服務平台(TDX)營運模式研究,110,"2,850,000",,,,,,
423,科創科,花東地區在地多元運輸共享服務經營輔導計畫,110,"18,650,000",,,,,,
424,科創科,2022年智慧運輸世界大會參展計畫,111,"990,000",,,,,,
425,資通安全組,交通部111年度阻斷服務攻擊(DDos)防護系統及應用程式防火牆(WAF)採購案,111,"6,570,292",,,,,,
426,資通安全組,交通部交通網路地理資訊倉儲系統(GIS-T)ArcGIS軟體採購,111,"1,850,000",,,,,,
427,運資科,我國智慧道路應用與數據服務發展策略規劃,111,"18,900,000",,,,,,
428,科創科,花東在地共享運輸輔導及偏鄉交通資源整合服務平台推動計畫,111,"27,600,000",,,,,,
429,運資科,提升「運輸資料流通服務平臺(TDX)」交通數據創新價值暨專案管理(I),111,"6,450,000",,,,,,
430,運資科,智慧交通大數據基礎建設及應用服務計畫(II),111,"48,800,000",,,,,,
431,科創科,智慧運輸發展與車輛安全法規技術諮詢管理計畫(2/4),111,"9,510,000",,,,,,
432,科創科,機車聯網協作安全與服務擴散試驗研究計畫,111,"47,165,000",,,,,,
433,科創科,國內車聯網認證暨資安憑證管理指引建立先導計畫,111,"23,600,000",,,,,,
434,科創科,淡海新市鎮智慧交通場域試驗研究二期計畫,111,"87,665,000",,,,,,
435,公運監理司,2025國內自駕車輛法規調適導入計畫委託服務案,112,"16,000,000",,,,,,
436,科創科,企業員工通勤足跡數位盤查機制研究計畫,112,"15,262,500",,,,,,
437,科創科,智慧運輸發展與車輛安全法規技術諮詢管理計畫(3/4)擴充,112,"9,150,000",,,,,,
438,科創科,機車聯網協作安全與服務擴散試驗研究計畫,112,"47,165,000",,,,,,
439,運研所,110年度交通行動服務(MaaS)縣市推廣與輔導計畫,110,"8,800,000",,,,,,
440,運研所,應用人工智慧分析技術探勘高風險路段 (1/4) -駕駛行為模式研析及車外異常事件影像辨識技術開發,110,"7,120,000",,,,,,
441,運研所,交通部無人機科技產業發展策略規劃與執行,110,"7,150,000",,,,,,
442,運研所,無人機在交通領域之創意應用競賽(II),110,"7,600,000",,,,,,
443,運研所,111年度交通行動服務(MaaS)縣市推廣與輔導計畫,111,"9,350,000",,,,,,
444,運研所,應用人工智慧技術進行交通數據蒐集暨號誌控制之研究,111,"4,200,000",,,,,,
445,運研所,無人機搭配AI影像辨識應用於橋梁檢測之研究(1/2)-橋梁劣化構件AI影像辨識之技術開發,111,"6,650,000",,,,,,
446,運研所,無人機整合示範計畫(Ⅱ)-物流運送之深化應用,111,"4,295,000",,,,,,
447,運研所,應用人工智慧分析技術探勘高風險路段(2/4)-車內異常事件影像辨識技術開發及空間分析初探,111,"3,850,000",,,,,,
448,運研所,我國人工智慧車聯網之號誌控制(1/2)-都會區幹道實作與交流道區域模式發展探討,112,"4,900,000",,,,,,
449,運研所,無人機搭配AI影像辨識應用於橋梁檢測之研究(2/2)-無人機自動化檢測架構探討,112,"6,140,000",,,,,,
450,運研所,應用人工智慧分析技術探勘高風險路段(3/4)-車內異常事件影像辨識技術開發,112,"4,790,000",,,,,,
451,運資科,智慧交通大數據基礎建設及應用服務計畫(Ⅲ),112,"99,800,000",,,,,,
452,運資科,智慧道路設施數位化平臺建置-標誌設施,112,"7,993,488",,,,,,
453,運資科,數位道路地圖於智慧交通應用之研析計畫,112,"7,900,000",,,,,,
454,運資科,TDX創新服務驗證計畫-資料治理應用與擴散輔導,112,"17,830,000",,,,,,
455,運資科,112年度TDX平臺基礎設施採購案,112,"10,440,030",,,,,,
456,科創科,智慧運輸發展與車輛安全法規技術諮詢管理計畫(4/4),113,"8,050,000",,,,,,
457,科創科,自駕公車實驗運行安全管理研析及技術諮詢服務計畫,113,"9,555,000",,,,,,
458,科創科,MaaS交通行動服務維運計畫,113,"7,728,000",,,,,,
459,運研所,科技技術應用於道路交通安全規劃委託研究計畫,113,"15,000,000",,,,,,
460,運研所,運用科技精進連續假期疏運計畫先期規劃委託研究案,113,"7,500,000",,,,,,
461,運資科,交通部113年度TDX平臺基礎設施採購案,113,"6,070,296",,,,,,
462,公路總局,使用中大型車輛設置行車視野輔助系統案,106,"50,000,000",,,,,,
463,公路總局,優化快速公路交通資訊涵蓋面,106,"91,000,000",,,,,,
464,高公局,精進北宜廊道整合式交通管理－國道5號藍芽交通資訊收集及推播系統建置,106,"30,000,000",,,,,,
465,高公局,國道替代道路即時路況資訊系統,106,"10,000,000",,,,,,
466,公路總局,遊覽車客運業車輛裝置全球衛星定位設備,106,"26,887,000",,,,,,
