編號,執行機關,名稱,年度,計畫總金額,中央補助總額,地方自籌總額,計畫年度經費,中央年度補助款,地方年度自籌款,執行廠商
201,新北市,新北市運輸走廊整合道路交通與多元資訊應用計畫(第4期),110,"20,000,000","15,000,000","4,000,000","13,333,333","10,000,000","3,333,333",資拓宏宇股份有限公司
202,新北市,新北市運輸走廊整合道路交通與多元資訊應用計畫(第4期),111,"20,000,000","15,000,000","4,000,000","6,666,667","5,000,000","666,667",資拓宏宇股份有限公司
203,新北市,新北市淡海智駕電動巴士環線多車服務測試運行計畫,110,"17,500,000","13,125,000","4,375,000","5,250,000","3,937,500","1,312,500",台灣世曦工程顧問股份有限公司
204,新北市,新北市淡海智駕電動巴士環線多車服務測試運行計畫,111,"17,500,000","13,125,000","4,375,000","6,650,000","4,987,500","1,662,500",台灣世曦工程顧問股份有限公司
205,新北市,新北市淡海智駕電動巴士環線多車服務測試運行計畫,112,"17,500,000","13,125,000","4,375,000","5,600,000","4,200,000","1,400,000",台灣世曦工程顧問股份有限公司
206,桃園市,桃園市交通事故分析平台計畫,110,"11,675,000","6,675,000","5,000,000","3,502,500","2,002,500","1,500,000",台灣世曦工程顧問股份有限公司
207,桃園市,桃園市交通事故分析平台計畫,111,"11,675,000","6,675,000","5,000,000","8,172,500","4,672,500","3,500,000",台灣世曦工程顧問股份有限公司
208,桃園市,桃園市復興區幸福巴士彈性(站點)班次公車動態資訊服務計畫,110,"6,577,454","4,000,000","1,500,000","2,708,363","4,000,000","1,500,000",
209,桃園市,桃園市復興區幸福巴士彈性(站點)班次公車動態資訊服務計畫,111,"6,577,454","4,000,000","1,500,000","2,708,363",0,0,
210,桃園市,桃園市復興區幸福巴士彈性(站點)班次公車動態資訊服務計畫,112,"6,577,454","4,000,000","1,500,000","1,160,728",0,0,
211,新竹縣,V2X技術與應用強化新竹縣自駕車運行路線計畫,110,"6,000,000","5,000,000","1,000,000","1,800,000","1,500,000","300,000",創新交通科技有限公司
212,新竹縣,V2X技術與應用強化新竹縣自駕車運行路線計畫,111,"6,000,000","5,000,000","1,000,000","3,000,000","2,500,000","500,000",創新交通科技有限公司
